,app_id,german,french,spanish,brazilian,russian,italian,schinese,japanese,koreana,polish
51,1716740,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
52,1593500,"(56,537)","(2,542)","(5,432)","(7,270)","(4,338)",(837),"(12,497)",(112),"(2,705)","(2,520)"
53,2108330,"(3,303)",(312),(363),(196),(56),(108),(290),(29),(35),(124)
54,413150,"(326,184)","(6,084)","(27,072)","(57,265)","(23,815)","(1,227)","(76,848)","(1,167)","(25,640)","(6,375)"
55,1868140,"(19,267)",(603),"(1,240)",(828),(84),(96),"(20,099)",(462),"(6,599)",(108)
56,1353230,"(5,443)",(87),(136),(113),(52),(21),(11),(64),(13),(11)
57,1172620,"(137,195)","(8,398)","(9,902)","(11,292)","(44,611)","(1,754)","(32,949)",(282),"(2,730)","(7,898)"
58,1551360,"(64,924)","(4,108)","(3,973)","(2,725)","(8,008)",(812),"(29,602)",(430),"(3,391)","(5,451)"
59,2140330,"(1,547)",(5),(2),(5),(1),(0),(12),(1),(3),(1)
60,394360,"(128,516)","(3,867)","(4,858)","(4,033)","(35,731)","(1,987)","(5,278)","(1,485)","(5,103)","(12,789)"
61,1659040,"(10,314)",(309),(258),(134),(916),(76),"(2,051)",(76),(209),(239)
62,489830,"(168,347)","(7,965)","(10,513)","(9,631)","(21,451)","(2,132)","(19,907)",(909),"(4,573)","(4,691)"
63,1029690,"(7,336)",(636),(435),(527),(314),(131),"(1,823)",(59),(203),(310)
64,1158310,"(53,725)","(3,219)","(2,221)","(1,342)","(7,667)",(649),"(15,278)",(186),"(2,727)","(1,659)"
65,1248130,"(29,192)","(3,808)",(947),"(1,510)","(1,279)",(570),(397),(62),(103),"(6,151)"
66,1063730,"(169,033)","(10,352)","(14,892)","(17,857)","(14,024)","(2,913)","(4,247)",(210),(945),"(7,599)"
67,1250410,"(36,953)","(2,301)","(1,557)","(1,403)","(1,396)",(499),(892),(274),(841),(760)
68,284160,"(121,715)","(7,113)","(4,381)","(4,271)","(25,785)","(1,043)","(3,171)",(286),"(1,073)","(10,163)"
69,648800,"(134,402)","(6,678)","(8,929)","(11,558)","(44,396)",(981),"(30,581)",(879),"(8,150)","(6,735)"
70,2141910,"(2,702)",(107),(222),(337),(61),(73),(47),(99),(47),(22)
71,294100,"(108,675)","(3,691)","(3,129)","(2,888)","(11,258)",(520),"(20,680)","(1,192)","(5,063)","(2,613)"
72,960090,"(198,305)","(1,752)","(6,679)","(23,956)","(3,653)",(584),"(5,537)",(174),"(1,402)","(12,224)"
73,1888930,"(21,583)","(1,748)","(2,165)","(1,665)","(1,599)",(498),"(4,012)",(128),(648),(690)
74,1384160,"(30,634)",(587),"(1,641)","(1,309)",(965),(226),"(2,348)",(519),"(1,688)",(180)
75,1151640,"(60,551)","(3,737)","(4,540)","(3,714)","(5,134)","(1,069)","(7,808)",(496),"(2,623)","(2,579)"
76,548430,"(154,398)","(4,321)","(4,594)","(4,155)","(27,006)","(1,022)","(22,077)",(532),"(2,517)","(2,870)"
77,2208920,"(6,039)",(281),(564),(881),(864),(79),"(1,877)",(105),(325),(464)
78,105600,"(624,339)","(11,631)","(65,574)","(57,829)","(165,761)","(4,620)","(141,598)","(3,311)","(14,651)","(32,905)"
79,223750,"(17,867)","(1,003)",(705),(649),"(1,741)",(263),"(3,870)",(121),(427),(607)
80,552990,"(45,480)","(2,615)","(4,561)","(3,609)","(5,956)",(997),"(51,723)",(755),"(2,132)","(1,833)"
81,632360,"(173,522)","(3,373)","(5,119)","(4,721)","(13,234)",(657),"(30,674)",(764),"(3,603)","(1,753)"
82,255710,"(123,404)","(5,596)","(7,683)","(8,821)","(11,605)","(1,266)","(44,389)","(1,334)","(5,828)","(7,874)"
83,1286830,"(42,059)","(2,173)","(1,434)","(1,619)","(2,986)",(167),(169),(15),(69),"(1,037)"
84,1149460,"(22,081)","(1,668)",(687),(511),"(2,297)",(124),"(2,258)",(376),(776),(213)
85,1272080,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
86,1284210,"(8,332)",(334),(650),(661),(123),(56),(74),(8),(79),(204)
87,1971870,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
88,377160,"(203,805)","(8,043)","(11,699)","(6,621)","(26,216)","(2,771)","(29,715)","(1,416)","(5,858)","(5,304)"
89,916440,"(6,086)",(338),(183),(93),(328),(44),"(2,598)",(50),(475),(168)
90,346110,"(338,952)","(25,583)","(44,345)","(27,188)","(48,060)","(2,769)","(73,986)","(2,843)","(17,738)","(14,224)"
91,216150,"(9,729)",(56),(365),(94),(9),(7),(247),(7),(77),(41)
92,221100,"(191,350)","(11,455)","(9,883)","(16,620)","(80,409)","(2,038)","(13,387)",(621),"(2,884)","(4,938)"
93,1588010,"(2,804)",(69),(28),(7),(5),(12),(35),(17),(46),(6)
94,1304930,"(17,060)",(580),"(1,091)",(745),"(3,287)",(118),"(4,219)",(148),(368),(332)
95,244210,"(48,378)","(4,338)","(6,346)","(5,376)","(7,996)","(2,302)","(3,867)",(374),(920),"(4,142)"
96,686810,"(70,754)","(2,858)","(3,511)","(2,178)","(4,464)",(566),"(11,915)",(174),(827),"(2,353)"
97,502500,"(18,245)",(626),(904),"(1,011)",(798),(263),"(9,467)",(822),"(1,585)",(272)
98,1259420,"(33,930)","(2,231)","(3,065)","(3,276)","(4,136)",(655),"(6,390)",(251),"(2,221)","(2,518)"
